retweeted_time,retweeted_id,retweeted_user_id,retweeted_username,retweeted_user_location,retweeted_hashtags,retweet_time,retweet_id,retweet_expanded_urls_array,retweet_origin_user_id,retweet_origin_username,retweet_origin_user_location,retweet_origin_user_intro_expanded_url,retweet_origin_user_des_expanded_url,retweet_origin_retweet_count,retweet_origin_hashtags,quoted_time,quoted_id,quoted_expanded_urls_array,quoted_origin_user_id,quoted_origin_username,quoted_origin_user_location,quoted_origin_user_intro_expanded_url,quoted_origin_user_des_expanded_url,quoted_origin_retweet_count,quoted_origin_hashtags,retweeted_full_text,retweeted_origin_full_text,quoted_origin_full_text
Fri Mar 13 23:57:21 +0000 2020,1238615163026243584,550504571,HChedz,,,Fri Mar 13 17:13:50 +0000 2020,1238513613427675137,http://live.berniesanders.com,216776631,Bernie Sanders,Vermont,https://BernieSanders.com,,2939.0,,,,,,,,,,,,RT @BernieSanders: At 2 p.m. ET today I will deliver another address to the nation on the lessons our country can learn from the coronaviru…,At 2 p.m. ET today I will deliver another address to the nation on the lessons our country can learn from the coronavirus outbreak. Please tune in at https://t.co/vreIiWfeoS.,
Fri Mar 13 23:57:28 +0000 2020,1238615189899096064,74051536,Ella Wheeler,Florida,,Thu Mar 12 21:06:14 +0000 2020,1238209711339642881,https://trib.al/ZQ2bVCU,67358777,Businessweek,"Homes, screens, and stores",http://www.businessweek.com,http://trib.al/OAHafp7,5501.0,,,,,,,,,,,,RT @BW: This German biotech company has made kits with 4 million coronavirus tests since the outbreak began https://t.co/KQczW0srBr,This German biotech company has made kits with 4 million coronavirus tests since the outbreak began https://t.co/KQczW0srBr,
Fri Mar 13 23:57:20 +0000 2020,1238615159276548096,35615605,Liam Whitman,,,Fri Mar 13 19:29:55 +0000 2020,1238547861358309377,https://www.pscp.tv/w/cTqFMzFxTFFHVnJ5UkFKRUp8MW5BSkVkcW5la1JHTBvYjkaDN1kHhmir4IUuXntvgkLwNp4WRqoaqw9oVdWW,822215673812119553,The White House 45 Archived,"Washington, D.C.",http://TrumpLibrary.gov,,7388.0,,,,,,,,,,,,RT @WhiteHouse: LIVE: President @realDonaldTrump holds a news conference https://t.co/D975UkADhj,LIVE: President @realDonaldTrump holds a news conference https://t.co/D975UkADhj,
Fri Mar 13 23:57:14 +0000 2020,1238615130511822848,826511625259737095,Janice,,,Fri Mar 13 12:01:52 +0000 2020,1238435104596332546,https://www.pbs.org/newshour/politics/chair-of-congressional-black-caucus-endorses-biden,89887215,Yamiche Alcindor,"Washington, DC",https://yamichealcindor.com/contact/,,1343.0,,,,,,,,,,,,"RT @Yamiche: BREAKING: The chair of the Congressional Black Caucus, Rep. @KarenBassTweets is endorsing former VP @JoeBiden Biden for presid…","BREAKING: The chair of the Congressional Black Caucus, Rep. @KarenBassTweets is endorsing former VP @JoeBiden Biden for president.   She told me: ""We need somebody who is steady, who is clear headed, and who is focused on the nation, and not himself.""   https://t.co/K1GNRingrT",
Fri Mar 13 23:57:14 +0000 2020,1238615132227301378,1132994442145570817,Odie 🌊🐕🐈🐴🐰🐼🌊 ☮️,,,,,,,,,,,,,Fri Mar 13 22:57:31 +0000 2020,1238600104430505984,https://www.theverge.com/2020/3/13/21179118/google-coronavirus-testing-screening-website-drive-thru-covid-19,897694521089294336,"Bill (wear a damn mask!)Reyno, RN 🟧","Dallas, TX",,,1.0,,@realDonaldTrump @WhiteHouse  WHAT? Are you saying he lied about that? https://t.co/5u4H7o4kYv,,"Contrary to Trump’s claim, Google is not building a nationwide coronavirus screening website - The Verge https://t.co/qbCyMOc7zv"
Fri Mar 13 23:57:16 +0000 2020,1238615141064810496,989936197685448705,🇮🇸 Salka Mandie 🇮🇸,Iceland,,Fri Mar 13 02:57:10 +0000 2020,1238298024025227264,https://johnpavlovitz.com/2017/07/30/repealing-strong-black-mans-legacy/,493714995,John Pavlovitz,"Wake Forest, NC",http://johnpavlovitz.com,,703.0,,,,,,,,,,,,RT @johnpavlovitz: @realDonaldTrump @LouDobbs Obama wasn't impeached. He didn't oversee the worst market drop since 1987. He didn't pay off…,@realDonaldTrump @LouDobbs Obama wasn't impeached. He didn't oversee the worst market drop since 1987. He didn't pay off a porn star. He isn't a serial adulterer. He wasn't credibly accused by two dozen women of sexual assault. He was beloved. He is beloved. You'll never be him.  https://t.co/ZhRoahobme,
Fri Mar 13 23:57:15 +0000 2020,1238615136199479298,542998000,Steph,,,,,,,,,,,,,Fri Mar 13 20:46:48 +0000 2020,1238567207195545603,https://www.washingtonpost.com/outlook/nsc-pandemic-office-trump-closed/2020/03/13/a70de09c-6491-11ea-acca-80c22bbee96f_story.html,2977031254,Chris B 🇺🇦,USA,,,1076.0,,@realDonaldTrump The lies never end do they? Leave the respectable journalists alone. WHERE ARE THE TESTS? Guess it’s not a hoax is it? #WorstPresidentEver https://t.co/ON88IRAWSL,,@Yamiche Trump is LYING. “I ran the White House pandemic office. Trump closed it.”https://t.co/XCKMCbYWVD
Fri Mar 13 23:57:16 +0000 2020,1238615140926455814,16664309,Wolf,Germany,,Fri Mar 13 23:48:04 +0000 2020,1238612823732711425,https://t.co/6JW2Ad313g,80184360,chris murray,all over the place,http://www.facebook.com/chrismurrayroots,,5.0,,,,,,,,,,,,RT @wedotheska: I’m kinda like fuck Joe Biden at this point. I don’t care if he stuttered as a child. A shame about his personal tragedies…,I’m kinda like fuck Joe Biden at this point. I don’t care if he stuttered as a child. A shame about his personal tragedies for sure. But fuck Joe Biden. https://t.co/6JW2Ad313g,
Fri Mar 13 23:57:16 +0000 2020,1238615139877826560,2949047720,Cassandra,"Iowa, USA",,Fri Mar 13 01:24:28 +0000 2020,1238274697709707264,https://actionnetwork.org/forms/jewsforbernie-virtual-phonebanks-call-your-bubbe-in-florida,62919588,Joel Rubin,"Maryland, USA",https://joelrubin.net,,333.0,"[{'text': 'JewsForBernie', 'indices': [0, 14]}]",,,,,,,,,,,"RT @JoelMartinRubin: #JewsForBernie Virtual Phonebanks: ""Call Your Bubbe in Florida""! https://t.co/p6QB0gryLC","#JewsForBernie Virtual Phonebanks: ""Call Your Bubbe in Florida""! https://t.co/p6QB0gryLC",
Fri Mar 13 23:57:35 +0000 2020,1238615218529370115,1024821473976967168,Donna Mucci,,,Fri Mar 13 14:50:01 +0000 2020,1238477422128959490,https://thehill.com/policy/healthcare/other/487393-fda-grants-emergency-approval-for-faster-coronavirus-test,1073588049588772864,Tommy Hicks,,,,362.0,,,,,,,,,,,,RT @TommyHicksGOP: .@realDonaldTrump has been adamant about finding a cure to combat the coronavirus.    His number 1 priority is keeping A…,.@realDonaldTrump has been adamant about finding a cure to combat the coronavirus.    His number 1 priority is keeping Americans SAFE &amp; healthy.  https://t.co/rJfGBV9Z9z,
Fri Mar 13 23:57:24 +0000 2020,1238615174199668736,901172554835951616,CaliforniaRN,"Los Angeles, CA",,Fri Mar 13 18:28:00 +0000 2020,1238532277975625729,http://nestorgomezstoryteller.com/immigration-stories.html,93071854,"Nestor ""the boss"" Gomez","Chicago, IL",http://www.nestorgomezstoryteller.com/,,91.0,"[{'text': 'SouthKorea', 'indices': [58, 69]}, {'text': 'TrumptheWorstPresidentEVER', 'indices': [232, 259]}]",,,,,,,,,,,"RT @soloyochapin: @NPR @realDonaldTrump promised to make AMERICA GREAT  but #SouthKorea has FREE drive-through COVID-19 testing center, tha…","@NPR @realDonaldTrump promised to make AMERICA GREAT  but #SouthKorea has FREE drive-through COVID-19 testing center, that takes 10 minutes at most. Meanwhile The U.S has no tests available for the public @POTUS made America WEAK   #TrumptheWorstPresidentEVER  https://t.co/WC5xmh40iA",
Fri Mar 13 23:57:23 +0000 2020,1238615170882179072,22932701,"Tænketanken: Jeg, det filosofiske menneske🌎","Trige, Denmark",,Fri Mar 13 21:03:23 +0000 2020,1238571382071603206,https://cnb.cx/2ILedxz,424320811,Catherine Clifford,"New York, NY",https://ciphernews.com/team/cat-clifford/,,676.0,,,,,,,,,,,,RT @CatClifford: The coronavirus pandemic has added fuel to the fire calling for UBI. Workers who can't work remotely face an impossible de…,The coronavirus pandemic has added fuel to the fire calling for UBI. Workers who can't work remotely face an impossible decision: go to work to get paid or stay home to help “flatten the curve” of coronavirus. @AndrewYang @AOC @TulsiGabbard @jasonfurman https://t.co/YTvewfWKVT,
Fri Mar 13 23:57:23 +0000 2020,1238615168617254915,957359722331598852,Dr. Cincinnati_Northside_Dem,"Northside, Cincinnati",,Fri Mar 13 12:43:16 +0000 2020,1238445523893452801,https://www.motherjones.com/politics/2020/03/gop-small-government-trump-coronavirus-incompetence/,15220768,David Corn,"Washington, DC",http://www.motherjones.com,http://davidcorn.com,2561.0,"[{'text': 'coronavirus', 'indices': [58, 70]}]",,,,,,,,,,,RT @DavidCornDC: .@realdonaldtrump's staggering and deadly incompetence on #coronavirus didn't happen accidentally. The road to this moment…,".@realdonaldtrump's staggering and deadly incompetence on #coronavirus didn't happen accidentally. The road to this moment was paved by the GOP's decades-long war on government. I explain in my latest article. Please read, RT, and share. https://t.co/u4mHuUsBDC",
Fri Mar 13 23:57:23 +0000 2020,1238615171804864514,510862098,Eber,San Alejos,,Fri Mar 13 17:13:50 +0000 2020,1238513613427675137,http://live.berniesanders.com,216776631,Bernie Sanders,Vermont,https://BernieSanders.com,,2939.0,,,,,,,,,,,,RT @BernieSanders: At 2 p.m. ET today I will deliver another address to the nation on the lessons our country can learn from the coronaviru…,At 2 p.m. ET today I will deliver another address to the nation on the lessons our country can learn from the coronavirus outbreak. Please tune in at https://t.co/vreIiWfeoS.,
Fri Mar 13 23:57:22 +0000 2020,1238615167165964291,45971460,Batalysta,NY the shitshow state,,Fri Mar 13 23:18:50 +0000 2020,1238605467531657216,https://noqreport.com/2020/03/13/president-trump-calls-for-national-day-of-prayer-on-sunday-amidst-coronavirus-pandemic/,11622712,JD Rucker,"Orange County, CA",https://jdrucker.com/find/,https://thelibertydaily.com,149.0,,,,,,,,,,,,RT @JDRucker: @realDonaldTrump My President. https://t.co/2wAoFO1tcY,@realDonaldTrump My President. https://t.co/2wAoFO1tcY,
Fri Mar 13 23:57:23 +0000 2020,1238615170248773632,1072967927626915840,Robot Dreams,,,Fri Nov 29 15:39:38 +0000 2019,1200439181924864011,http://www.postandcourier.com/tncms/asset/editorial/cfb4f2a2-01ad-11ea-bdd4-ff23e4b5af2c,1142626865020059655,Jermaine Johnson 🇺🇸,"South Carolina, USA",http://Johnsonforsc.com,,827.0,"[{'text': 'YangGang', 'indices': [56, 65]}]",,,,,,,,,,,"RT @Dr_JLJohnson: Blessed to have had the Post and Courier cover my life. #YangGang want to know why I do what I do, feel free to read. I d…","Blessed to have had the Post and Courier cover my life. #YangGang want to know why I do what I do, feel free to read. I don't look like what I have been through! Share this story for anyone who needs to know that their past does not define their future. https://t.co/8mRT5lksZb",
Fri Mar 13 23:57:24 +0000 2020,1238615172253704200,380502564,Judi Ledgard 🌊🌊🌊😷😷😷🇺🇸🇺🇸🇺🇸🆘📣📢📣📢,"Arkansas, USA",,Fri Mar 13 12:43:16 +0000 2020,1238445523893452801,https://www.motherjones.com/politics/2020/03/gop-small-government-trump-coronavirus-incompetence/,15220768,David Corn,"Washington, DC",http://www.motherjones.com,http://davidcorn.com,2561.0,"[{'text': 'coronavirus', 'indices': [58, 70]}]",,,,,,,,,,,RT @DavidCornDC: .@realdonaldtrump's staggering and deadly incompetence on #coronavirus didn't happen accidentally. The road to this moment…,".@realdonaldtrump's staggering and deadly incompetence on #coronavirus didn't happen accidentally. The road to this moment was paved by the GOP's decades-long war on government. I explain in my latest article. Please read, RT, and share. https://t.co/u4mHuUsBDC",
