retweeted_time,retweeted_id,retweeted_user_id,retweeted_username,retweeted_user_location,retweeted_hashtags,retweet_time,retweet_id,retweet_expanded_urls_array,retweet_origin_user_id,retweet_origin_username,retweet_origin_user_location,retweet_origin_user_intro_expanded_url,retweet_origin_user_des_expanded_url,retweet_origin_retweet_count,retweet_origin_hashtags,quoted_time,quoted_id,quoted_expanded_urls_array,quoted_origin_user_id,quoted_origin_username,quoted_origin_user_location,quoted_origin_user_intro_expanded_url,quoted_origin_user_des_expanded_url,quoted_origin_retweet_count,quoted_origin_hashtags,retweeted_full_text,retweeted_origin_full_text,quoted_origin_full_text
Fri Apr 03 23:42:51 +0000 2020,1246221657037066240,53563332,John Oeffinger,"Austin, Texas",,Fri Apr 03 23:41:27 +0000 2020,1246221305072017413,https://twitter.com/EnemyOfTheLeft/status/1246217749912838149,21268897,Josh Marshall,New York,http://talkingpointsmemo.com,http://bit.ly/3LXafUs,37.0,,,,,,,,,,,,RT @joshtpm: evolving Trumpist messaging,evolving Trumpist messaging https://t.co/vaF0Xv9t56,
Fri Apr 03 23:42:53 +0000 2020,1246221667581464577,811605969985802241,Patricia,"Ohio, USA",,Fri Apr 03 17:29:14 +0000 2020,1246127632464392192,https://twitter.com/USNationalGuard/status/1246112771076509704,25073877,Donald J. Trump,,http://DonaldJTrump.com,,5524.0,,,,,,,,,,,,"RT @realDonaldTrump: Thank you @USNationalGuard, keep up the great work!","Thank you @USNationalGuard, keep up the great work! https://t.co/tzQb3eGDat",
Fri Apr 03 23:42:52 +0000 2020,1246221661596266496,454647936,Sir Peter YOUNG 🇪🇺🇮🇪🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇺🇦 #FBPE,Plague Island,,Sat Mar 21 21:56:48 +0000 2020,1241483928004747266,https://twitter.com/BMeiselas/status/1241452404588998656,53717630,T🥁mmy L33,EVERYWHERE!,http://linktr.ee/tommy_lee,,339.0,,,,,,,,,,,,RT @MrTommyLand: From our fearless moron!!!!!!!!,From our fearless moron!!!!!!!! https://t.co/7OJ6Q6V7ne,
Fri Apr 03 23:42:52 +0000 2020,1246221659813658625,3902463795,Pepper,"Florida, USA",,Fri Apr 03 17:29:14 +0000 2020,1246127632464392192,https://twitter.com/USNationalGuard/status/1246112771076509704,25073877,Donald J. Trump,,http://DonaldJTrump.com,,5524.0,,,,,,,,,,,,"RT @realDonaldTrump: Thank you @USNationalGuard, keep up the great work!","Thank you @USNationalGuard, keep up the great work! https://t.co/tzQb3eGDat",
Fri Apr 03 23:42:54 +0000 2020,1246221668269293569,257559765,Mikeonthemarne #FBPE🇺🇦#Нет войн#StandWithUkraine,France,,Fri Apr 03 23:21:13 +0000 2020,1246216214650605568,https://twitter.com/staceyabrams/status/1245431506807513088,4888600459,Chris Vickery,"Santa Rosa, CA",https://tinyurl.com/vickerybckgrd,,21.0,,,,,,,,,,,,RT @VickerySec: this. ll this. LL this.⚙️,this. ll this. LL this.⚙️ https://t.co/U7U75oNgl0,
Fri Apr 03 23:42:53 +0000 2020,1246221663974326273,45645555,Melissa Laurent,The PineyWoods ETx,,Fri Apr 03 23:20:23 +0000 2020,1246216004704886785,https://twitter.com/ReutersPolitics/status/1246206015655284741,2567365058,⚓️ 🇺🇸 Proud Navy Veteran,America ,https://proudnavyveteran.wordpress.com,,41.0,"[{'text': 'Crozier', 'indices': [80, 88]}]",,,,,,,,,,,RT @naretevduorp: You can be sure @EsperDoD didn't make (or approve) the decision to fire Captain #Crozier without talking to @realDonaldTr…,You can be sure @EsperDoD didn't make (or approve) the decision to fire Captain #Crozier without talking to @realDonaldTrump.  The Crozier firing memo is covered with orange spray tan. https://t.co/x5TyQy5AWE,
Fri Apr 03 23:42:33 +0000 2020,1246221582223040512,3067668504,real_Jeff Berk ❌ MAGA #TrumpWon,United States,,Fri Apr 03 22:49:30 +0000 2020,1246208229828431875,https://twitter.com/TomFitton/status/1242963402017910787,18266688,Tom Fitton,"Washington, DC",http://www.JudicialWatch.org,http://judicialwatchbook.com,937.0,,,,,,,,,,,,RT @TomFitton: .@RealDonaldTrump is absolutely right. The Left wants out of control vote by mail and hates voter id because they want to be…,.@RealDonaldTrump is absolutely right. The Left wants out of control vote by mail and hates voter id because they want to be able to steal elections when necessary. We MUST Protect Our Votes! https://t.co/Q4QQBd9hQJ,
Fri Apr 03 23:42:33 +0000 2020,1246221583217242116,108611795,Obi Mom Knobi ⚔️,3rd Rock 🌏 from the 🌞,,Fri Apr 03 23:02:35 +0000 2020,1246211524747722754,https://twitter.com/Emily_Baum/status/1245875443309228032,939091,Joe Biden,"Washington, DC",http://joebiden.com,,12283.0,,,,,,,,,,,,RT @JoeBiden: This is a headline every American should see: “Trump administration ended pandemic early-warning program to detect coronaviru…,This is a headline every American should see: “Trump administration ended pandemic early-warning program to detect coronaviruses”  Donald Trump’s shortsighted actions left our nation ill-prepared to deal with this outbreak. https://t.co/P9zT0a3mNg,
Fri Apr 03 23:42:32 +0000 2020,1246221577923915776,924980666730668032,John Edward,,,Fri Apr 03 17:45:17 +0000 2020,1246131671268765702,https://twitter.com/atrupar/status/1245852517474295809,357606935,Elizabeth Warren,Massachusetts,https://elizabethwarren.com/,,23113.0,,,,,,,,,,,,"RT @ewarren: That is, in fact, exactly what it’s there for. Get states the resources they need, or get out of the way.","That is, in fact, exactly what it’s there for. Get states the resources they need, or get out of the way. https://t.co/8TwnfQ19DK",
Fri Apr 03 23:42:32 +0000 2020,1246221578830053378,2185012447,Chara Carl,"Sandpoint, ID",,Fri Apr 03 15:09:16 +0000 2020,1246092409135665154,https://twitter.com/AmberSmithUSA/status/1246052144115077120,226222147,Pete Buttigieg,"Traverse City, MI",,,9821.0,"[{'text': 'CaptainCrozier', 'indices': [130, 145]}]",,,,,,,,,,,RT @PeteButtigieg: It’s so painful to watch a captain sidelined for looking after his sailors. And it’s so stirring to see their show of lo…,It’s so painful to watch a captain sidelined for looking after his sailors. And it’s so stirring to see their show of loyalty for #CaptainCrozier as he steps ashore. America’s national leadership deficit cannot go on forever. https://t.co/XLQssBVtSF,
Fri Apr 03 23:42:33 +0000 2020,1246221580214194177,2376589376,Penelope Renzi,,,Fri Apr 03 17:45:17 +0000 2020,1246131671268765702,https://twitter.com/atrupar/status/1245852517474295809,357606935,Elizabeth Warren,Massachusetts,https://elizabethwarren.com/,,23113.0,,,,,,,,,,,,"RT @ewarren: That is, in fact, exactly what it’s there for. Get states the resources they need, or get out of the way.","That is, in fact, exactly what it’s there for. Get states the resources they need, or get out of the way. https://t.co/8TwnfQ19DK",
Fri Apr 03 23:42:35 +0000 2020,1246221589395296256,1146438900333735937,Jake Don 🌹🍀🍀🍀🍀🍀🍀🍀 #StillSanders BS in CS,,,Fri Apr 03 01:06:21 +0000 2020,1245880283003408384,https://twitter.com/teddyschleifer/status/1245748217016250370,23903580,The Bern Identity,"Bay Area, CA",https://www.tiktok.com/@thebernidentity?is_from_webapp=1&sender_device=pc,,313.0,"[{'text': 'coronavirus', 'indices': [41, 53]}, {'text': 'coronavirus', 'indices': [256, 268]}]",,,,,,,,,,,RT @bern_identity: 10 MILLION are now unemployed because of #coronavirus and many of them are also now uninsured.  Joe Biden is doing a pri…,10 MILLION are now unemployed because of #coronavirus and many of them are also now uninsured.  Joe Biden is doing a private fundraiser with Silicon Valley elite for $2800/each + $25K bundlers get a VIP treatment...DURING A PANDEMIC.  Bernie's rai$ing for #coronavirus charities. https://t.co/wCo6Np7BZM,
Fri Apr 03 23:42:32 +0000 2020,1246221576745431040,2771327900,Texas Paul Schroder,"Texas, USA",,Fri Apr 03 23:02:35 +0000 2020,1246211524747722754,https://twitter.com/Emily_Baum/status/1245875443309228032,939091,Joe Biden,"Washington, DC",http://joebiden.com,,12283.0,,,,,,,,,,,,RT @JoeBiden: This is a headline every American should see: “Trump administration ended pandemic early-warning program to detect coronaviru…,This is a headline every American should see: “Trump administration ended pandemic early-warning program to detect coronaviruses”  Donald Trump’s shortsighted actions left our nation ill-prepared to deal with this outbreak. https://t.co/P9zT0a3mNg,
