user_id,degree
601537492,12
896536097655853059,3
14297863,20
168406203,17
1490442355,17
1116173691270811649,13
978864793477054465,12
3000620722,4
34793170,9
886595855691784195,14
2611624367,7
769232694807040000,4
872331828,10
878247600096509952,2
778763106289758208,13
1866938882,2
1187453344563941377,1
2717961126,3
1917731,25
180984316,1
822215673812119553,11
944378643232448512,22
16113072,8
14895030,0
413327979,3
63996778,9
321774180,11
949934436,3
47471027,4
939091,18
27995424,11
783792992,4
292929271,11
17840773,4
18247062,17
1209417007,5
29422823,4
934049237628841984,3
300642262,5
11435642,4
1180598311516024832,17
793658020743876608,12
148204863,0
843475523389050880,10
799255041672499200,4
2490585386,3
1072342620024815622,6
931286316,15
43753976,18
46213956,0
1069754296282071040,4
38644883,2
1106771843929788419,5
226871416,6
1249982359,0
864663235923820545,7
610919499,0
19188848,0
804100121013190660,1
1640929196,11
1105682065780064258,16
18608115,2
11856892,5
892275857779118080,3
492833134,21
115129636,9
753367570669903873,2
917972406198775808,0
817825066993860608,0
259001548,10
935368364,0
922882763136688128,1
1093842517622210560,12
818893114979061761,8
2680192368,5
27943005,14
84219973,12
91882544,2
3074932775,12
838516638450253824,3
21522338,2
1180275026643128320,12
17877451,4
887364546,4
374871742,10
89068115,2
34315154,4
762932101,0
26570572,3
1009577803304656896,9
65497475,3
11744152,0
4128148629,10
902548250057728001,6
546111899,17
21146733,20
377350150,4
51259456,1
2397840366,11
753385398718521344,4
27493883,20
37575922,0
226222147,21
1141928177046106114,2
833839440,22
1194780218667470849,17
37981933,1
811514954159443968,1
51827732,8
406483952,10
14247236,2
1110675502073733120,24
429227921,0
52631277,2
951302891708583936,6
16263803,12
1094146978160758784,1
503400523,5
238170109,25
2735556450,1
818948638890217473,13
2323448533,6
715044396,2
49034507,3
740264413178023936,2
145987317,3
1173808918398722048,17
864487498935787520,3
620571475,6
1037479904395317250,4
274891222,13
1169665468715716608,4
890381594170712064,2
16581604,2
3231033384,16
989899992432369664,9
18108585,3
471672239,1
323440720,2
278145569,0
241518558,4
1074480192,2
16931008,3
94132483,20
500391228,1
2964839109,13
45645232,2
827497128062758912,1
19211550,8
816736590412337158,17
919667724535648262,3
797127998164107264,14
715617989656051712,2
1056729919932243974,0
811298843337850880,3
3930472251,4
956153251501658112,1
2249531,1
61636488,0
43078558,16
964658316021587970,22
338672074,12
327503814,0
833402240241065984,1
18089606,3
14344823,1
381829318,7
899149856,5
21563711,19
347627434,9
11991912,7
1103939416362348544,8
8363752,0
21322255,2
15212187,8
3266619146,23
870078626066202624,11
4846298811,7
317385247,1
42074224,7
2995083651,1
556118417,3
2975091705,1
1133555455874207747,11
139596582,4
283482455,10
4048852873,6
1573472503,3
11134252,20
172511244,2
467726691,2
212391284,4
15447123,7
934500442364559360,3
2228130159,3
2596413645,13
179341792,22
1193342580978847744,15
24616657,2
388350912,2
910492003359760384,0
1143571304404148224,15
362028861,4
1077790895783653377,11
1048370469622054914,13
705902960967094272,2
3168663944,4
22204234,18
160244947,2
36840498,36
796899745889402880,9
730526980370776064,3
18320938,6
1000075108491382784,10
903742498811416576,17
46764631,14
27753686,11
885661050,16
45500908,6
746813582386438144,9
1189782859688660995,13
816652616625168388,9
1209994700,10
15757578,3
1880725393,4
21418443,5
36423281,10
816683274076614656,6
3303944139,7
859315448,18
3316346737,7
432895323,11
30724469,0
22095410,3
1073047860260814848,10
166751745,11
468646961,0
999084321184141312,3
883103523508019200,1
784532076079046656,18
39469575,1
346896433,1
16625082,14
4872993094,17
806794262004150273,0
741955390653534208,1
752493806,1
519072324,9
898272197407584257,5
1184727405308633088,18
1084888839427182592,13
3007818287,16
4745668153,14
494567353,16
992870137240764417,6
38917331,4
1722907592,26
229141520,5
972909709,6
175828319,1
3589010426,0
3995778614,1
898904244,3
878916812,3
735633664696946689,5
36715753,6
1529551105,6
22203756,5
24787367,0
830128820447539208,1
947964830358622209,13
1144714428123762688,11
790629748024029184,5
42755624,6
319525018,14
890306613785088000,20
1108139961881161729,3
15975316,12
1041318026451152896,10
387980164,17
1105579199081910279,1
546247295,29
364214133,0
971051135996964864,2
4121225056,6
121631678,3
34868965,5
21866939,0
29097819,0
750046943905058816,1
940368062,3
601535938,2
16358213,17
202952121,1
15012486,1
15099295,24
9300262,19
60919240,3
1176174675707273217,4
18956073,12
244655353,6
731608385645318144,6
1089029510870302720,0
48142004,10
111721601,1
26487169,8
35516339,24
16523905,2
15745368,2
15416505,2
1109138224411222016,5
4696552878,9
1051991690167418880,1
22786490,0
195826487,4
376453771,7
171598736,2
17685258,11
108527993,0
14828860,7
46176168,5
22956220,8
355591226,5
389532043,11
13850422,14
1052257957919031297,8
45676731,23
38284349,1
33608041,0
19400611,3
60403024,8
701825647,8
139823781,1
489218573,0
22677397,2
963431664671186944,8
61112850,4
2554131522,1
218574387,0
814979549503115264,20
1170304086497005568,4
96149284,1
2351909388,2
23022687,3
871121912,5
89820928,1
592730371,4
822501908036337664,5
14820509,3
4707468799,4
39769631,5
1036803577207877632,9
20104539,16
845689249,0
2966770391,3
23359769,2
338608917,6
34916539,2
459872442,4
61008839,6
716842239813558272,17
1011658090268188672,4
1046201039320494081,17
758729592672653312,0
1090388423733583874,10
1182346921920348161,2
35877890,6
756892471511097344,2
1924353668,2
1013374544,3
709161467401019392,18
874970256,18
861398108,18
3736222752,3
834657630,20
18000989,6
945012234215755776,13
98992586,7
19612969,0
44054652,0
22008787,1
23903580,24
1170523367616720896,30
826104850194653186,2
716813053,0
825490116755996672,5
3017963387,13
757272075484565504,23
1166042641064243200,9
403908693,0
1322678960,0
733063923620945920,18
37110994,4
1091145234279481347,15
1152841095568662529,16
715620316228292611,16
49128933,19
34792486,1
722171848201383937,11
1205226529455632385,6
9491292,14
702920066761826305,16
1142078330054828032,19
1156973624768831489,11
177584156,4
786179658,17
2721049359,20
466992330,4
20480549,1
14731096,4
875257637016924160,15
784744998734532608,19
2579839388,0
562498029,11
44397959,0
3756427159,8
893331068,13
16411851,6
885581376,3
449974837,2
454232867,0
1083157067463098370,36
1204230348609064961,25
152009592,7
249756038,2
792660210,12
981287750094786561,8
113342420,10
1150433767279828993,8
1067968702400876544,2
734184327391645696,15
1004523129371230208,2
805837455697977344,17
865225293841158145,20
187680645,2
70442852,10
937729411947876357,9
1651522832,2
1162841025846677504,8
1199546555109392384,14
553991829,6
1390094958,1
795890441250099200,1
1634552636,3
905087563915960320,0
880801071052062720,0
1137706470877880320,5
574585907,0
965004924370079744,7
734783792502575105,7
25387735,1
1204908453187244035,5
455684839,2
973698792519282688,15
821134316637802501,10
1161770724429897728,4
2468708726,11
812361923304034304,4
30540789,0
14193053,1
3885806474,4
240760644,4
1608976652,1
258854542,18
763473214957813760,1
1083551928821448710,13
30726383,12
21823130,2
1080477288955826176,3
31013444,0
27547008,5
15941056,1
1075121162743676928,1
784596813038911488,7
248747209,2
776182683085012992,3
53091029,5
701725963,5
54412900,3
1151676636825313280,0
1142061161359249409,22
528763476,7
791062131512709120,0
18464266,3
586918186,1
491719838,2
19026201,4
379690254,1
820810838038589440,5
82643763,7
26991652,4
835729260,4
50519684,3
3981225735,5
26767736,0
21949261,8
120170305,0
488236286,5
1208966564122415109,5
1208260348849115137,1
1110627636932296704,0
246103,12
969493747238100992,0
3384262751,1
1382330306,3
143169070,1
15965107,11
5820642,0
243459994,10
263751035,10
175516377,9
162620363,15
35745067,30
9624742,0
3192962633,5
22160119,27
15579405,19
58577769,0
56725219,13
14515799,4
63876208,7
44774107,1
164679813,1
2746942355,7
44174671,9
766709684,5
4704128252,0
975127727501185025,0
23593446,1
632557215,1
112526560,0
450941680,5
2884771,6
50434933,0
216881337,2
17981186,0
158426909,0
14119371,0
29458079,0
39176902,0
926620369,0
102482331,0
275276082,0
55558616,0
1610496259,0
142751926,0
234186830,0
78723428,0
22771961,1
15740776,1
