retweeted_time,retweeted_id,retweeted_user_id,retweeted_username,retweeted_user_location,retweeted_hashtags,retweet_time,retweet_id,retweet_expanded_urls_array,retweet_origin_user_id,retweet_origin_username,retweet_origin_user_location,retweet_origin_user_intro_expanded_url,retweet_origin_user_des_expanded_url,retweet_origin_retweet_count,retweet_origin_hashtags,quoted_time,quoted_id,quoted_expanded_urls_array,quoted_origin_user_id,quoted_origin_username,quoted_origin_user_location,quoted_origin_user_intro_expanded_url,quoted_origin_user_des_expanded_url,quoted_origin_retweet_count,quoted_origin_hashtags,retweeted_full_text,retweeted_origin_full_text,quoted_origin_full_text
Fri Dec 06 23:58:01 +0000 2019,1203101317339598848,1291355324,Omar Ali Al-hamidi,,,Fri Dec 06 19:18:21 +0000 2019,1203030938663428103,,25073877,Donald J. Trump,,http://DonaldJTrump.com,,11262.0,,,,,,,,,,,,RT @realDonaldTrump: King Salman of Saudi Arabia just called to express his sincere condolences and give his sympathies to the families and…,"King Salman of Saudi Arabia just called to express his sincere condolences and give his sympathies to the families and friends of the warriors who were killed and wounded in the attack that took place in Pensacola, Florida....",
Fri Dec 06 23:58:00 +0000 2019,1203101315796230152,1162757233987522562,TULSA YANG GANG,"Tulsa, OK",,,,,,,,,,,,,,,,,,,,,,The men behind the mask. @AndrewYang #YangGang is ready for you in Dallas! @DFWforYang https://t.co/jP7LoobDZy,,
Fri Dec 06 23:58:02 +0000 2019,1203101323622637568,2941511070,Hans Harn,"Pasadena, CA",,Fri Dec 06 23:49:42 +0000 2019,1203099225946501121,,2228878592,Andrew Yang🧢⬆️🇺🇸,United States,https://andrewyang.com/books,,159.0,,,,,,,,,,,,RT @AndrewYang: David Fizdale is the lucky one.  The fans are still stuck with this team.,David Fizdale is the lucky one.  The fans are still stuck with this team.,
Fri Dec 06 23:58:02 +0000 2019,1203101321454333952,881640615406129152,Carol Hartness,"North Carolina, USA",,,,,,,,,,,,Fri Dec 06 23:56:32 +0000 2019,1203100946894639105,,881640615406129152,Carol Hartness,"North Carolina, USA",,,0.0,,@MarkMeadows https://t.co/KIlZ7zkbfo,,@ThomTillis @realDonaldTrump Thom Tillis what have you done for the people of NC w/out Trump you work for voters of NC are you sure you're not getting paid by Putin the way you&amp;republicans are acting like a bunch of clowns running around showing America&amp;the world how stupid some of republicans are being now!
Fri Dec 06 23:58:02 +0000 2019,1203101323018854401,807957037,Dorothy🇺🇸,,,Fri Dec 06 23:42:45 +0000 2019,1203097476842053635,,25073877,Donald J. Trump,,http://DonaldJTrump.com,,5342.0,"[{'text': 'MAGA', 'indices': [95, 100]}, {'text': '2A', 'indices': [153, 156]}]",,,,,,,,,,,RT @realDonaldTrump: Congressman @LanceGooden has done a wonderful job for the people of Texas while supporting our #MAGA Agenda. He contin…,"Congressman @LanceGooden has done a wonderful job for the people of Texas while supporting our #MAGA Agenda. He continues to protect your very important #2A. Lance is Strong on Crime and the Border, he Loves our Great Vets and Military. Lance has my Complete &amp; Total Endorsement!",
Fri Dec 06 23:58:03 +0000 2019,1203101328148353024,1109475284,Adrienne Brinton,,,Fri Dec 06 13:54:26 +0000 2019,1202949419580018688,,770781940341288960,Rudy W. Giuliani,"New York, NY",http://RudyGiulianiCS.com,,7951.0,,,,,,,,,,,,RT @RudyGiuliani: It comes as a huge shock to Democrats that @realDonaldTrump will ask for investigations concerning violations of US laws…,"It comes as a huge shock to Democrats that @realDonaldTrump will ask for investigations concerning violations of US laws &amp; misused hard-earned tax payer dollars.  It’s called his legal obligation under Article 2, Sec. 3 of the US Constitution. Ignored by Obama.",
Fri Dec 06 23:58:03 +0000 2019,1203101325560598528,90620291,Bobbyd,"Knoxville, TN",,Fri Dec 06 19:18:21 +0000 2019,1203030938663428103,,25073877,Donald J. Trump,,http://DonaldJTrump.com,,11262.0,,,,,,,,,,,,RT @realDonaldTrump: King Salman of Saudi Arabia just called to express his sincere condolences and give his sympathies to the families and…,"King Salman of Saudi Arabia just called to express his sincere condolences and give his sympathies to the families and friends of the warriors who were killed and wounded in the attack that took place in Pensacola, Florida....",
Fri Dec 06 23:58:03 +0000 2019,1203101325547855872,3106743727,Linda,,,Fri Dec 06 23:39:16 +0000 2019,1203096599435644928,,25073877,Donald J. Trump,,http://DonaldJTrump.com,,4950.0,,,,,,,,,,,,RT @realDonaldTrump: ....will temporarily hold off this designation and step up our joint efforts to deal decisively with these vicious and…,....will temporarily hold off this designation and step up our joint efforts to deal decisively with these vicious and ever-growing organizations!,
Fri Dec 06 23:58:01 +0000 2019,1203101320468520960,18856444,suzyrice,U.S.A.,,,,,,,,,,,,Fri Dec 06 23:16:42 +0000 2019,1203090918754209794,,1060487274,Doug Collins,"Gainesville, Georgia",https://linktr.ee/dougcollins,http://TheDougCollinsPodcast.com,3576.0,,"It's a political process by Dems who are unable to defeat Trump pending re-election. Dems deny it's political while they prove daily that it is, indeed, political; by their pumping of this denial, it's proof near-enough that it's so. That's my (only) way of ""understanding""this https://t.co/dscyBrcq1Z",,The average American outside of D.C. understands due process.   They understand fairness.   They do not understand how Democrats are moving to impeach @realDonaldTrump over something Democrats infer he did. https://t.co/BtGwsJY1oU
Fri Dec 06 23:58:01 +0000 2019,1203101319784890369,604152042,Zac Phillips,"Mesa, AZ",,,,,,,,,,,,,,,,,,,,,,#suckitobama https://t.co/PoDRzp4Uvo,,
