user_id,degree,community_id,weighted_degree,pagerank,政客bias,媒体bias
2256965582,8,0,10.0,0.0007652167205121,,
1125399808670351361,19,0,21.0,0.0005580797655302,,
546111899,17,1,18.0,0.0009051492206844,,
97114302,12,1,13.0,0.0006490314437245,,
802529272623726593,4,0,7.0,0.0005638086779578,,
162104004,10,1,12.0,0.0005232424321232,,
802584787,29,8,33.0,0.0007800169242474,,
1067293117,12,8,13.0,0.0008492196994188,,
21146733,20,8,21.0,0.0012779605757065,,
3836008983,7,0,8.0,0.0006001722651947,,
732980827,10,0,12.0,0.0007712530880554,,
1190136594352590849,16,1,18.0,0.0006609872374915,,
43078558,16,1,21.0,0.001209483637356,,
1103939416362348544,8,1,9.0,0.0008918341060376,,
3231033384,16,1,17.0,0.0009745859955062,,
823367015830323201,11,0,19.0,0.0008104522613422,,
3088857280,9,0,11.0,0.0006266619408296,,
16113072,8,8,10.0,0.0008574178760347,,
139596582,4,10,5.0,0.0011173603375495,,
1068285150641995776,9,8,10.0,0.0007981364100869,,
24616657,2,8,3.0,0.00062931145629,,
989899992432369664,9,7,10.0,0.0014518378978126,,
377350150,4,10,5.0,0.0008712859248484,,
63996778,9,0,10.0,0.0010328673835897,,
2397840366,11,10,13.0,0.0017547933230835,,
882724194148110336,11,8,12.0,0.0005206296691613,,
4004609957,19,8,20.0,0.0009519361260248,,
460233029,5,1,7.0,0.0005206296691613,,
115129636,9,10,10.0,0.0006463503071851,,
1171909867021492226,18,1,19.0,0.0008475718185535,,
418867782,12,0,13.0,0.0006868042841797,,
896536097655853059,3,10,4.0,0.0007221167813474,,
3345579826,23,7,26.0,0.0019153118602006,,
14297863,20,1,21.0,0.0008762293888458,,
851335608702189568,7,1,10.0,0.0010325033527909,,
470468291,11,0,14.0,0.0005521917233017,,
4214321,7,10,8.0,0.0005798100743682,,
16721452,8,10,10.0,0.0009967266471932,,
1120819174476062722,11,7,13.0,0.0006832226354992,,
394101339,10,8,12.0,0.0007050048234357,,
521996289,26,8,30.0,0.00121039267548,,
3074932775,12,10,15.0,0.001299188950273,,
1116173691270811649,13,1,15.0,0.0008383010904703,,
4048852873,6,0,7.0,0.0012877767214557,,
1490442355,17,1,18.0,0.0006599940934641,,
11856892,5,10,6.0,0.000961863561934,,
770781940341288960,11,0,12.0,0.000548531356731,,
46764631,14,1,16.0,0.0011187665636154,,
27753686,11,7,14.0,0.0018400033872422,,
885661050,16,8,18.0,0.0014619307866808,,
746813582386438144,9,7,11.0,0.0019255836274724,,
1209994700,10,10,11.0,0.0024120225264029,,
15757578,3,0,4.0,0.0006374466626078,,
36423281,10,8,11.0,0.0012791203315099,,
859315448,18,8,22.0,0.002182709015446,,
902548250057728001,6,8,7.0,0.0007045341830572,,
811298843337850880,3,8,4.0,0.0006033584718574,,
2449913803,3,0,4.0,0.0005218353235968,,
999084321184141312,3,0,5.0,0.0010669489086394,,
16625082,14,8,16.0,0.0011349431806492,,
1685873604,7,10,8.0,0.0007062344026883,,
406483952,10,0,12.0,0.0008155507533717,,
741955390653534208,1,0,2.0,0.000760229924344,,
14823835,14,1,15.0,0.0005232424321232,,
38917331,4,0,5.0,0.001332729291134,,
1573472503,3,0,4.0,0.0011984159307361,,
816683274076614656,6,0,9.0,0.0006315048427108,,
947964830358622209,13,8,14.0,0.0021050401704508,,
790629748024029184,5,0,6.0,0.0014395496487204,,
319525018,14,1,15.0,0.0009262071762284,,
13524182,4,8,5.0,0.0005206296691613,,
121631678,3,8,4.0,0.000709263823922,,
15099295,24,1,27.0,0.0016189617606739,,
731608385645318144,6,0,7.0,0.0013766492262907,,
48142004,10,1,11.0,0.0008647195588831,,
26487169,8,0,11.0,0.0008075036651151,,
35516339,24,8,27.0,0.0021142462845812,,
17685258,11,0,14.0,0.0012242811528417,,
3000620722,4,0,5.0,0.0006968946852561,,
833839440,22,8,24.0,0.0013277639564607,,
347627434,9,0,10.0,0.0006186767875756,,
60403024,8,0,9.0,0.0017625568497857,,
814979549503115264,20,0,23.0,0.0045597022704968,,
39076082,4,0,5.0,0.0005218353235968,,
2351909388,2,0,3.0,0.0008353036393052,,
1004178700466876416,17,10,19.0,0.0009356462809948,,
23359769,2,0,4.0,0.0005762683144689,,
61008839,6,0,7.0,0.0008730710598999,,
14372270,9,8,10.0,0.0007365793948433,,
716842239813558272,17,8,19.0,0.0019173253082546,,
1046201039320494081,17,10,21.0,0.0054615137368808,,
1090388423733583874,10,8,11.0,0.0016708555436178,,
27282113,6,10,8.0,0.000549176454828,,
14839147,3,0,4.0,0.0005206296691613,,
503400523,5,0,6.0,0.0005661779966618,,
15212187,8,0,9.0,0.0006381730169079,,
620571475,6,0,8.0,0.000617933183511,,
861398108,18,8,20.0,0.0020488019981003,,
378295286,8,8,9.0,0.0005898378871412,,
626455898,4,10,5.0,0.0005206296691613,,
1640929196,11,10,12.0,0.0006777561670831,,
945012234215755776,13,8,16.0,0.0034586200907738,,
23903580,24,8,35.0,0.003880158731284,,
1162841025846677504,8,1,9.0,0.0007336900508801,,
16315143,3,0,4.0,0.0005230409780323,,
