domain,bias
mail.yahoo.com,left leaning
au.lifestyle.yahoo.com,left leaning
au.finance.yahoo.com,left leaning
yahoo.com,left leaning
es-us.noticias.yahoo.com,left leaning
es-us.vida-estilo.yahoo.com,left leaning
currently.att.yahoo.com,left leaning
au.yahoo.com,left leaning
uk.style.yahoo.com,left leaning
tmz.me,right leaning
www.tmz.com,right leaning
amp.tmz.com,right leaning
mol.im,extreme bias right
www.dailymail.co.uk,extreme bias right
dailymail.co.uk,extreme bias right
videos.dailymail.co.uk,extreme bias right
abcnews4.com,right leaning
www.huffp.st,left
huffp.st,left
www.huffpost.com,left
m.huffpost.com,left
huffpost.com,left
rsbnetwork.com,right
www.rsbnetwork.com,right
www.telegraph.co.uk,right
telegraph.co.uk,right
ajplus.co,left leaning
aje.io,left leaning
www.aljazeera.com,left leaning
aljazeera.com,left leaning
mediaview.aljazeera.com,left leaning
www.scotusblog.com,center
www.cbc.ca,left leaning
cbc.ca,left leaning
www.forbes.com,right leaning
on.forbes.com,right leaning
forbes.com,right leaning
www.forbes.com.mx,right leaning
forbes.es,right leaning
www-forbes-com.cdn.ampproject.org,right leaning
www.vanityfair.com,left
archive.vanityfair.com,left
www.vanityfair.fr,left
vanityfair.com,left
www.bostonglobe.com,left leaning
www2.bostonglobe.com,left leaning
apps.bostonglobe.com,left leaning
bostonglobe.com,left leaning
thereaganbattalion.com,right leaning
www.channel4.com,left leaning
balleralert.com,center
www.businessinsider.com,left leaning
markets.businessinsider.com,left leaning
www.businessinsider.in,left leaning
amp.businessinsider.com,left leaning
businessinsider.com,left leaning
www.businessinsider.de,left leaning
www.businessinsider.com.au,left leaning
businessinsider.mx,left leaning
www.businessinsider.fr,left leaning
it.businessinsider.com,left leaning
businessinsider.com.au,left leaning
africa.businessinsider.com,left leaning
BusinessInsider.com,left leaning
www.palmerreport.com,left
www.pbs.org,left leaning
to.pbs.org,left leaning
pbs.org,left leaning
PBS.com,left leaning
www.motherjones.com,left leaning
motherjones.com,left leaning
www.politifact.com,left leaning
politifact.com,left leaning
freebeacon.com,extreme bias right
www.politicususa.com,left
politicususa.com,left
www.scientificamerican.com,left leaning
blogs.scientificamerican.com,left leaning
TheFirstTV.com,right
thefirsttv.com,right
www.thefirsttv.com,right
TheFirstTv.com,right
www.nydailynews.com,left leaning
interactive.nydailynews.com,left leaning
enewspaper.nydailynews.com,left leaning
nydailynews.com,left leaning
u.afp.com,center
www.afpbb.com,center
www.afp.com,center
factcheck.afp.com,center
correspondent.afp.com,center
www.independent.co.uk,left leaning
www.independent.org,left leaning
puzzles.independent.co.uk,left leaning
independent.co.uk,left leaning
www.independent.ie,left leaning
www.independent.com,left leaning
www.independent.ng,left leaning
isc.independent.gov.uk,left leaning
www.theatlantic.com,left leaning
amp.theatlantic.com,left leaning
on.theatln.tc,left leaning
accounts.theatlantic.com,left leaning
theatlantic.com,left leaning
www.bbc.com,left leaning
bbc.in,left leaning
www.bbc.co.uk,left leaning
bbc.co.uk,left leaning
news.bbc.co.uk,left leaning
bbc.com,left leaning
monitoring.bbc.co.uk,left leaning
www.hollywoodreporter.com,left leaning
www.buzzfeednews.com,left leaning
buzzfeednews.com,left leaning
www.theguardian.com,left leaning
theguardian.com,left leaning
amp.theguardian.com,left leaning
www.texastribune.org,left leaning
apps.texastribune.org,left leaning
texastribune.org,left leaning
static.texastribune.org,left leaning
schools.texastribune.org,left leaning
www.aninews.in,right leaning
www.wspa.com,right leaning
www.wric.com,center
www.freep.com,left leaning
rssfeeds.freep.com,left leaning
amp.freep.com,left leaning
eu.freep.com,left leaning
townhall.com,right
finance.townhall.com,right
Townhall.com,right
news.sky.com,left leaning
election.news.sky.com,left leaning
www.skynews.com.au,right
skynewsaust.page.link,right
tg24.sky.it,left leaning
sky.tg,left leaning
www.francetvinfo.fr,left leaning
la1ere.francetvinfo.fr,left leaning
mobile.francetvinfo.fr,left leaning
sport.francetvinfo.fr,left leaning
franceinfo.fr,left leaning
www.ktvn.com,center
www.ajc.com,left leaning
ajc.com,left leaning
www.ajc.org,left leaning
global.ajc.org,left leaning
epaper.ajc.com,left leaning
AJC.com,left leaning
AJC.org,left leaning
www.itv.com,right leaning
www.outkick.com,right leaning
outkick.com,right leaning
www.jpost.com,right leaning
jpost.com,right leaning
m.jpost.com,right leaning
www.americamagazine.org,left leaning
americamagazine.org,left leaning
theybf.com,center
adage.com,center
fxhedgers.com,center
www.10tv.com,center
iowastartingline.com,left
www.ntd.com,right
mb.ntd.com,right
www.ntdtv.com,right
newsletter.ntd.com,right
ntd.com,right
NTD.com,right
www.mrctv.org,right leaning
g1.globo.com,left leaning
epoca.globo.com,left leaning
valor.globo.com,right leaning
