user_id,degree,community_id,weighted_degree,pagerank
521996289,19,7,22.0,0.002118587094493982
18266688,11,0,15.0,0.000526072741118353
760293057929420803,3,0,6.0,0.0005289039044733667
2230551446,13,6,16.0,0.0007698649831735698
617266600,6,5,9.0,0.0006243853893790398
4771610420,4,5,7.0,0.0008966844008802969
1164013468854431744,3,4,5.0,0.0005572813790317599
949934436,17,6,19.0,0.000526072741118353
313037820,10,6,13.0,0.0018001410346522586
832102581111382016,16,6,18.0,0.0007670146942242773
3224321133,22,13,31.0,0.001057010855783162
14247236,8,1,10.0,0.001324628299391271
408875175,7,4,12.0,0.0005572813790317599
349115430,8,6,12.0,0.0007674343187032862
734768872625188864,16,6,19.0,0.0023841200944589684
21258337,3,4,6.0,0.0011469824034550226
1210594819497549825,12,13,18.0,0.0006087062354630866
15115280,22,13,27.0,0.0023261523400702035
3141672447,14,7,19.0,0.0009219500017668848
802584787,17,7,22.0,0.0019700646920884656
1127683471592296448,15,0,24.0,0.0006674865750509399
1139976128456617984,14,4,19.0,0.002137842918010981
817382752731463680,3,0,5.0,0.0010052536621049449
402888514,36,13,39.0,0.003554832423014746
454447505,11,0,13.0,0.0006389417868715664
3191478638,19,6,23.0,0.0009400638777570024
47471027,1,6,3.0,0.0007104519446600567
50124767,17,5,21.0,0.0008331914779031301
286476728,3,5,5.0,0.0023324086455094877
858136801537556480,11,7,13.0,0.002952785490707119
246590464,8,0,10.0,0.001498955685623872
4081106480,3,0,7.0,0.0015812437774712085
3074932775,13,13,18.0,0.0005576489749733542
803774148338188289,19,13,24.0,0.0022095200946133098
1009577803304656896,31,13,43.0,0.0031009214943342324
25436570,1,0,3.0,0.0005345662311833943
212391284,6,13,10.0,0.003117894741830355
1123329338,7,5,10.0,0.0005723690654625052
321774180,8,13,10.0,0.0013419926410785802
1164356807776702465,10,13,15.0,0.004306598626927358
864487498935787520,10,13,14.0,0.0019649996888198773
862435303881023488,7,13,9.0,0.004316223343754906
758859209614041088,5,7,8.0,0.0006524671239513979
838976832,4,7,6.0,0.0013582557761608323
23318036,5,6,8.0,0.0008464764945270836
755057200901398528,17,6,21.0,0.00600557778585392
2655144752,15,6,19.0,0.0014034050312705189
4560567675,12,13,19.0,0.0036473517985944307
402091536,10,13,12.0,0.0006803577765921191
454513795,7,0,9.0,0.0006905307333201559
996859430900727808,2,0,4.0,0.0024824776124045505
752248514,4,6,5.0,0.0005745466543820475
2176138431,21,6,22.0,0.0006404007334345795
111664523,4,6,5.0,0.000724993960665247
1169665468715716608,4,13,7.0,0.0005650748341269182
34916539,2,0,4.0,0.0005317350678283805
17642747,1,13,2.0,0.000526072741118353
738786290313920513,9,5,10.0,0.0007695194162918285
32517688,3,9,6.0,0.0011468232415342353
534630009,19,6,22.0,0.0014489376057289
1219807037304885249,14,13,16.0,0.0008844633652606937
1099701111416442880,15,13,17.0,0.0008806043882359164
485376798,16,5,17.0,0.0006305966795057156
91882544,3,0,5.0,0.0011683231667730643
43014978,9,13,13.0,0.000526072741118353
2918212191,14,7,18.0,0.001611395825476659
4917550806,16,7,21.0,0.0013441107754766945
1651208408,11,6,12.0,0.0006790148819022462
1612071392,14,5,15.0,0.000569969528443365
4165642155,6,0,10.0,0.0005624236330247726
3003886063,1,13,2.0,0.000526072741118353
2389738746,17,6,19.0,0.0007284316827096745
865602530574688257,16,1,20.0,0.0010542181692931468
63013144,10,13,13.0,0.0010768838578447764
467726691,30,6,35.0,0.0035516673967499954
477012156,48,6,52.0,0.0005320370585862486
888053122962149380,19,6,20.0,0.0008369845331149632
1049171,3,6,4.0,0.000526072741118353
2217145184,10,6,11.0,0.0008840536300630899
27952164,10,9,12.0,0.000617587019145211
14185317,2,9,3.0,0.0007275544600557965
534023,1,0,2.0,0.0007954675269602183
1640929196,6,13,12.0,0.0008073306772412737
27282113,12,13,13.0,0.0005846242004972595
846801440706351104,4,5,7.0,0.000526072741118353
138168339,4,5,5.0,0.000526072741118353
881564280180531200,11,5,12.0,0.002229856335575004
136550204,2,9,4.0,0.0010671294931048668
1214683688694427648,17,6,21.0,0.0012440313867304947
16475267,6,6,7.0,0.001799329809605822
918302785011093504,13,6,14.0,0.0005409074202294621
4459642286,15,6,19.0,0.0008541250382830062
366498596,3,3,4.0,0.000526072741118353
799111347111751680,1,0,2.0,0.0007059639044675711
975448388,8,5,9.0,0.0005326510324432379
7860902,6,5,7.0,0.0014864161224655559
809963614249619456,12,13,13.0,0.002414135292295578
831319111414210560,14,5,15.0,0.0041158670609392975
216065430,38,5,41.0,0.006458999080484249
2502938032,19,6,21.0,0.0038977204291055275
837420063351259140,10,13,12.0,0.0005781926932726647
36807657,9,13,14.0,0.001352218014068094
4482329417,1,13,2.0,0.0005650748341269182
1204026067855519744,6,13,7.0,0.0009098524780822336
14372270,5,7,6.0,0.001654508747674893
75063842,11,13,15.0,0.000526072741118353
399178595,9,6,10.0,0.000526072741118353
1122623265673891840,14,5,16.0,0.0008109823359457185
40735297,19,5,20.0,0.0018308990057580108
26642006,7,6,8.0,0.002227640199758449
940409602155282432,2,0,4.0,0.0007954675269602183
960285302899298304,1,0,2.0,0.0012029080329412538
3058713120,3,6,4.0,0.00084458437852193
1078457644736827392,23,6,28.0,0.0007114028569034114
27493883,27,6,30.0,0.0005956910060651893
978864793477054465,4,0,6.0,0.000526072741118353
2155027064,5,4,6.0,0.002201997987946641
30626499,10,6,11.0,0.0007199016225473769
4270724112,2,6,3.0,0.0007708919154805086
1649395076,11,6,14.0,0.0006402468183609251
29073978,16,5,17.0,0.0009122702937078948
1106501,8,5,9.0,0.0010358557618069994
715044396,1,0,2.0,0.0005317350678283805
753367570669903873,4,13,7.0,0.0007837523277024643
63218422,12,6,14.0,0.0006299418924932133
4486093643,3,13,4.0,0.0007463075017978865
26306441,4,13,5.0,0.0008036685820534319
829191420103766016,11,13,16.0,0.0006057406350443879
108977933,4,13,5.0,0.0007922756963315025
3383116294,23,13,25.0,0.000635202227399752
